,Job Title,Job Description,Salary,Position,Location,Updated Time,Expiry Date,Job Reference
0,Cloud Data Scientist,"This role is for a a Cloud Data Scientist who will be focusing on Operations Data Science, one must be able to think critically and strategically about the company's public cloud platforms, technology advancement insofar as leveraging cloud based application toolkits to efficiently and effectively meet the Analytics & Big Data platform needsOne must ensure cost effective analytics and ML/AI technology and the associated operations thereofYou will be comfortable engaging with Senior  leadership and management teams, discussing the total cost of management with hardware engineers, resource optimization with software engineers, or reviewing plans and deployment policies with the operations team based upon the advance analytics and machine learning by creating algorithms and predictive models.Lead projects with hands-on analysis and modelling, drawing from multiple of analytical methods to choose the right tool and right level of complexity appropriate for the cloud based technology challengesEngage broadly with the organization to identify, prioritize, frame, and structure complex and ambiguous challenges, where advanced analytics projects or tools can have the biggest impactIdentify, communicate and resolve the cloud based platform operational challenges and leverage public cloud analytical & ML/AI capabilities.Articulate operational problem statements and questions and use mathematical techniques to arrive at an answer using data.Translate analysis results into data driven recommendations
About The Employer: 
Must have technical / professional qualifications:Minimum Qualifications:Bachelorâ€™s Degree in Statistics, Mathematics, Operations Research, Computer Science or related field or equivalent professional experience as a Data ScientistRelevant cloud certification at professional or associate level.Minimum Experience:3+ years of relevant experience with a proven track record in a highly quantitative field (Machine Learning, AI, Computer Science, Data Science, Statistics, Mathematics, Operational Research, etc.)Preferred Experience and Qualifications:4+ years of overall IT experience with Big Data, Advance Analytics, Data Warehousing and Business Intelligence.Masterâ€™s degree in Statistics, Mathematics, Operations Research, Computer Science or related field or equivalent professional experience as a Data Scientist
",R Undisclosed,Permanent Senior position,"Gauteng, South Africa",Posted 30 Jan 2022,Expires in 10 days,Job 2444475 - Ref AF_0112_6346
1,Data Scientist (Decision Science team) (CH726) at Capital H Staffing and Advisory Solutions,"Our client in the Banking industry is looking for Data Scientist in the Decision Science area, with about 2 years of experience. The ideal candidate will work under close supervision to ensure best practices are followed.The purpose of the role is delivering business solutions via a collaborative approach involving mathematical formulae, business tactics, technological applications, statistics, data science and behavioural sciences to help senior management make data driven decisions within the retail credit risk environment.Data scientists will help automate and improve processes, create new products and services and assist with improved decision making based on data within the retail credit risk environment.Proven experience in:   2+ years of experience in building credit risk models (standard models like logistic regression and/or machine learning models) in Python/R/SAS Business analysis and requirements gathering Extracting and aggregating data from large relational databases Data mining and predictive modelling Reproducible coding experience and working with source control tools e.g., Git, Bitbucket Working in cloud environments, e.g., Azure, AWS  Qualifications   Honours Degree in Data Science or Mathematics (Minimum) Master’s Degree in Data Science or Mathematics (Ideal or Preferred)  Knowledge Min: Must have detailed knowledge of:  Analytics and data analysis Credit life cycle / Retail credit environment and industry Modelling and implementation lifecycle Solution and experimental design for model development Statistical modelling and machine learning development and underlying theory and assumptions of techniques. Predictive modelling techniques (statistical and machine learning) and deployment Source control systems e.g., Git, Bitbucket, or Source tree Relational database technologies Data Science lifecycle and applicable skills within  Ideal:   Solution and experimental design Machine learning model architecture (technical design and implementation processes) Interpretation of user requirements and translation into business requirements specifications  Solid understanding of:   Underlying theory and application of machine learning models must be able to understand underlying principles and theory and be able to teach others. Best practices for statistical credit risk modelling and data science Ethical AI design principles Data Science and Modelling lifecycle  Skills   Numerical Reasoning skills Critical thinking Attention to Detail Communications Skills Computer Literacy (MS Word, MS Excel, MS Outlook) Problem solving skills Analytical Skills SAS / SQL / Python Skills Interpersonal & relationship management skills  Competencies   Delivering Results and Meeting Customer Expectations Applying Expertise and Technology Analysing Learning and Researching Writing and Reporting Presenting and Communicating Information  Conditions of Employment  Clear criminal and credit record  General:  Only shortlisted candidates will be contacted. Should you not hear from us after 30 days you may consider your application unsuccessful In keeping with our client’s employment equity requirements, only South African citizens will be considered. Please include your current salary and salary expectations. 
",R Undisclosed,Permanent Intermediate position,"Winelands, Western Cape",Posted 30 Jan 2022,Expires in 11 days,Job 2444424 - Ref 1925410126
2,Data Scientist,"Job & Company Description:You will design, develop, maintain and support projects using a variety of Big Data/Data Science technologies. You will use machine learning techniques, data mining, do ad-hoc analysis and create automated anomaly detection systems as well as dashboards, reports and visualisations.   Education:MatricBSc Honours Computer Science / Engineering is mandatory.Masters or Doctoral degree is preferred Job Experience & Skills Required:4-5 years’ experience in a comparable environmentVery strong analytical, communication and negotiation skillsData Science (essential)AI and ML experience (essential)R, Weka, NumPy, MatLab (essential)Excellent understanding of machine learning techniques and algorithms such as k-NN, Naïve, SVMJavaPythonHTMLJavaScriptLinux shell scriptingNodeJSMSSQLMySQLMongoDBElasticSearchCassandraHDFS, Hadoop, Hbase Apply now!   For more IT jobs, please visit [URL Removed] If you have not had any response in two weeks, please consider the vacancy application unsuccessful. Your profile will be kept on our database for any other suitable roles / positions.  For more information contact:Lee Ann Jacobs[Email Address Removed]IT Recruitment Candidate Consultant
",R Undisclosed,Permanent Senior position,"Pretoria Region, Gauteng",Posted 30 Jan 2022,Expires in 18 days,Job 2446038 - Ref BR1012742LJa
3,Data Scientist with Azure - Midrand - R700 per hour at e-Merge IT Recruitment,"A global multinational corporation and a leader in the Motor industry is looking for a Data Scientist with Azure to be part of their leading team.  The incumbent must have the ability to create complex Splunk queries and dashboards and monitoring solution knowledge that is passionate about designing, developing, and operating smart monitoring solutions to ensure the accuracy of our production critical ERP systems.  Apply now!!!  Requirements:  Degree in Information Technology or related field6-7 years commercial experienceAzure Cloud expertise (Non-Negotiable)JIRAConfluenceBitbucketScrumPythonJavaSplunkResponsibilities:  Managing projects / processesAbility to develop within a specific sought-after programming languageStrong BI Consultant / Development experienceStrong working knowledge with software development tools, techniques and approaches used to build application solutionsWorking knowledge with software development tools, techniques and approaches used to build application solutionsCloud computing technologies, Business drivers and emerging computing trends Generic Technical / Functional skillsUnderstanding of BI Tools will be beneficialUnderstanding of integration between different technologiesReference Number for this position is NN54382 which is a contract position based in Midrand offering a contract rate of up to R700 per hour negotiable on experience and ability. Contact Nigel on [Email Address Removed] or call him on [Phone Number Removed]; to discuss this and other opportunities.  Are you ready for a change of scenery? The e-Merge IT recruitment is a specialist niche recruitment agency. We offer our candidates options so that we can successfully place the right developers with the right companies in the right roles. Check out the e-Merge website [URL Removed] for more great positions.  Do you have a friend who is a developer or technology specialist? We pay cash for successful referrals!
Desired Skills: 

Java
Python
JIRA
Bitbucket

Desired Qualification Level: 

Degree

","R112,000 per month",Contract Senior position,"Midrand, Gauteng",Posted 28 Jan 2022,Expires in 31 days,Job 2447426 - Ref NN54382
4,Data Scientist,"Data Scientist required at at the Johannesburg head ofice of a JSE listed company.  Duties & Responsibilities but not limited to  Identify and test innovative data science techniques that can be utilised in predictive analytics solutions across.Assist with research on trends in Data Science, specifically for the application in the healthcare industry.Engage with business stakeholders in the discovery process to identify the business problem/opportunity, elicit requirements and discuss the expected outcomes of modelling/solutions.Partner with business stakeholders to define approaches to resolving key business problems and focus on the development of new business strategies.Assist in developing conceptual designs or models to address business requirements.Collaborate with subject matter experts to select the relevant sources of data and understand the business requirements to ensure that the models are delivered in an appropriate manner.Partner with the Data Engineering team to obtain internal and external information and manage data utilisation.Perform pre-processing of data which includes tasks such as data manipulation, transformation, normalisation, standardisation, visualisation and features engineering.Review existing data analytics solutions (code and/or models), measure quality and identify potential improvementsUse data profiling and visualisation to understand and explain data characteristics that will inform modelling approaches.Identify and implement the appropriate data mining/statistics/machine learning techniques.Implement predictive models on large datasets (including distributed parallel computation platforms such as spark).Perform business modelling that translate decisions and business processes into a computational model.Validate and test analysis/models using appropriate techniques (back testing, A/B testing, scenario modelling, etc.).Implement models using standard processes and techniques.Monitor and maintain models with specific focus on model performance and the results being fit for purpose.Ensure full compliance to statutory regulations, policies, procedures, best practice, and professional standards and is in line with the strategy.Review and update all policies relating to data science.Communicate findings to business with various skill levels and in various roles, presenting trends, correlations and patterns found in complicated datasets in a manner that clearly and concisely conveys meaningful insights and defends recommendations.Generate concise reports with relevant visualisations and commentary for management.Minimum Requirements  Degree (Honours, Masters or PHD) in Statistics, Computer Science, Engineering, Mathematics and / or a combination of these.Relevant data science certifications such as Python, Microsoft, AWS, Hadoop, big data, machine learning, cloud infrastructure.A minimum of 4 years' experience in data science related projects.Experience with Python/Microsoft ML and tools available within the machine learning ecosystem (i.e.numpy, pandas, matplotlib, SciPy stack) and working in Jupyter notebooks.Experience with SQL and working with large-scale data sets.Knowledge and practical experience applying machine learning techniques.Experience working in agile development teams.Experience in operationalising data science solutions or similar product development.Experience in a high-scale production environment is critical.Provide support to the ever evolving strategy of person centred health and care and the digitisation strategy. Continuously deepen the awareness of the strategy to address new challenges within the Healthcare sector, to build a competitive advantage and sustainability through the moat strategy.Knowledge and understanding of the Data Science Development Cycle: business understanding, data profiling, feature derivation and selection, data modelling, model evaluation, productionisation, monitoring.Outstanding problem solving and analytical skills.Knowledge of how the business functions and the underlying strategy which supports the business model as well as improving clinical health and care.The ability to build, analyse and interpret numerical and non-numerical data to determine potential statistical inferences to inform business and clinical decisions.Ability in applying statistical machine learning techniques to predictive modelling problems and translating this into business solutions.Ability to clean and unify messy and complex data sets for easy access and analysis. Combining structure and unstructured data.Ability to provide detailed explanations (visually and verbally), representing information in the form of a chart, diagram, picture, using tools such as Kibana, Tableau, Power BI, etc.Write programming code (python / java) based on a prepared design.Understand leading edge technologies and best practice around Big Data, platforms and distributed data processing i.e. Hadoop ecosystem (distributed computational power)-HDFS/Spark/Kafka.Ability to conceptualise and frame a problem, develop hypothesis and identify objective measures to estimate accuracy of machine learning/statistical processes and perform testing and validation with careful experiments.Understanding of data flows, ETL and processing of structured and unstructured data within the data architecture.
Desired Skills: 

Data Scientist
Microsoft ML
Python
SQL

Desired Work Experience: 

2 to 5 years

Desired Qualification Level: 

Honours

",Undisclosed,Permanent Senior position,"Sunninghill, Gauteng",Posted 27 Jan 2022,Expires in 21 days,Job 2445485 - Ref 21293
5,Data Scientist/ Analyst (Intermediate and Senior) at RecruiTech,"Top Software house specialising in IT services and solutions is looking for a Senior and intermediate Data Analyst/ Scientist to assist in the development of new AI products, monitoring of existing products and supporting client queries.This role requires a proactive personality, extremely analytical mind-set, attention to detail, and excellent time management and communication skills. Generate outputs to give analytical and quantitative insights to business in order to make improved operational, tactical and strategic decisions.Responsibilities:Machine learning experience not negotiableDevelop and drive innovations within the AI/ML spaceTranslate Business Strategies into actionable goals and execute relevant BI projects / BI initiatives aligned to strategic objectives with specific performance measures and control systems to track progress.Extract data from various sources and convert it into meaningful information that can enhance the effectiveness of business decisions.Manage existing reports/dashboards through ongoing production of BI outputs to ensure consistent information supply in the required format/frequency and by adding additional insight into information produced for clients to ensure a value-added service to any information request to enhance business efficiencies.Involvement in new projects, design and develop Business Intelligence solutions in line with business requirements and service ad-hoc requests for information from clients within the required timeframe and specification.Ability to confidently present findings to senior business stakeholders.Assist with documentation of BI processes.Education/ Skills:Relevant IT Degree in Mathematics & Statistics/ Computer Science etc.Strong background in statistics and machine learningAbility to handle, interpret and analyze data efficientlyData manipulation within popular applications (SQL, R, Python)Ability to work in a high-pressure environment with a quick turnaround time to meet client expectations.Good communication/ presentation skills being client facingPlease send your CV to [Email Address Removed] or for more information, contact us on [Phone Number Removed]; (VoIP) or [Phone Number Removed];.In sending your CV, you confirm that you have read and understood our POPI Policy found on our website [URL Removed]  Should you be unsuccessful for this particular position, you have no objection to us retaining your personal information in our database which you confirm is true, correct and up to date. Should a suitable opportunity arise we will contact you and request your permission to submit your information.
Desired Skills: 

Strong background in statistics and machine learning
Data manipulation within popular applications
SQL
R
Python

Desired Work Experience: 

5 to 10 years

Desired Qualification Level: 

Degree

","R35,000 - R65,000 per month",Permanent Intermediate position,"Durban (Durban CBD), KwaZulu-Natal",Posted 27 Jan 2022,Expires in 21 days,Job 2445492 - Ref KJ0619
6,Data Scientist,"6 month contract for a skilled Data Scientist, with a strong BI background. Able to build data marts, reporting and kimball exp.
Desired Skills: 

bi
kimball
dimensional modelling

","R70,000 - R100,000 per month",Contract Senior position,Work From Home,Posted 26 Jan 2022,Expires in 29 days,Job 2419091
7,Data Scientist - Pricing at Datonomy Solutions,"We are looking for a Data Scientist who specialised in building Pricing Elasticity models. Experience in the retail industry is [URL Removed] is an initial three month contract with a strong likelihood of extension.
Desired Skills: 

Data Scientist
Pricing
 data science

",R Undisclosed,Contract Senior position,Work From Home,Posted 26 Jan 2022,Expires in 23 days,Job 2446869 - Ref 470
8,Data Scientist (with Cloud Azure essential) - B1824 Evdb at Mediro ICT,"We are looking for a Data Science Developer with profound monitoring solution knowledge who is passionate about designing, developing and operating smart monitoring solutions to ensure the accuracy of the production critical ERP systems - You must have over 5 years of Cloud experience (Azure).This is for a contract until Dec 2024 (3 years) -Renewable annually [URL Removed] will follow a hybrid working model which allows for remote and office rotations We are looking for a developer with profound monitoring solution knowledge who is passionate about designing, developing and operating smart monitoring solutions to ensure the accuracy of the production critical ERP systems.  Setting up and operation of Splunk clients  Ability to create complex Splunk queries and dashboards  Knowledge of Splunk AI solutions and the integration of additional AI solutions frameworks  Knowledge of data analysis and correlation via LogFiles and metrics  Knowledge of the creation of standard interfaces for obtaining new data sources (LogFiles etc.)  Knowledge of applied algorithms in the field of artificial intelligence/machine learning (eg. standard Python algorithms)  Knowledge of Natual lanaguage processing (NLP)  Knowledge of modern programming languages (eg. Python, Java)  Knowledge in the field of testing predictive systems  Maintenance and operating knowledge of applications including operating processes  Working with agile methods especially SCRUM with tools like JIRA, Confluence and Bitbucket Managing projects / processes  Ability to develop within a specific sought-after programming language  Strong BI Consultant / Development experience  Strong working knowledge with software development tools, techniques and approaches used to build application solutions  Working knowledge with software development tools, techniques and approaches used to build application solutions  Cloud computing technologies, Business drivers and emerging computing trendsMinimum Requirements At least 5-8 years Cloud architecture (eg. Azure)  At least 8 years’ experience of a backend programming language eg. Java, Python  At least 5 years’ experience in providing data for a monitoring solution  At least 3 years’ experience in implementing monitoring predictive monitoring solutions (eg. Spunk)  Experience in testing (manual and automated) state of the art cloud solutions Ability to create complex Splunk queries and dashboards Python algorithms Programming languages (eg. Python, Java) JIRA, Confluence and Bitbucket
",R Undisclosed,Contract Senior position,"Gauteng, South Africa",Posted 26 Jan 2022,Expires in 25 days,Job 2446914 - Ref EVDB_4961667842
9,Data Scientist (Industrial Environment),"Are you a Senior Data Scientist with experience within Industrial Operations enviroment and seeking international exposure?  Our client has an amazing remote opportunity for a 6 months contract renewable.  Work Location : Australia - Remote Work  Duration : 6 Months renewalKey tasks:  Hands on experience in ML/AI/analytics implementationIndustry Analytics/ML/AI project delivery experience using Agile methodsExperience in building production DS solutions including API deployment using CloudWorking directly with business stakeholders, data engineers, solutions architects and product managers in creating robust solutions.Current knowledge about ML algorithms, libraries and frameworks (should be demonstrable via coding test in Python etc. languages)Effective verbal and written communication
Desired Skills: 

Data scientist
API
Industrial analytics
Agile
data modelling

Desired Work Experience: 

5 to 10 years

",Undisclosed,Contract Senior position,"Johannesburg, Gauteng",Posted 26 Jan 2022,Expires in 20 days,Job 2445178 - Ref Data Scientist
