Job Title,Job Description
Data Scientist,"Job ID: 10176
Position Type: Full-Time
Job Function: Information Technology
Workplace Type: Head Office
Division: TFG Infotec
Province: Remote
Location: Remote
Suburb: Remote
Position Description:
The Merchandise & Supply Chain data science team provides strategic and tactical inputs across the full merchandising life cycle of our retail brands and considers the entire supply chain of merchandising. Our approach to this is heavily data-driven and involves in-depth use of advanced analytical techniques like machine learning, demand forecasting, clustering, simulation and mathematical optimization. This role would have a strong focus on understanding merchandise systems and the integration of analytical outputs into these systems.
Tasks and Objectives for the role:
Understand merchandise processes and associated systems, esp. aspects of systems that drive merchandising decisions.
Ensuring appropriate statistical methodology and analytical techniques are applied to the modeling process to deliver and deploy robust and effective models.
The querying of databases to quantify merchandise performance at the most detailed level.
Working closely with merchandise & supply chain stakeholders to ensure ongoing improvements in modeling approaches and output
Critically evaluating merchandising decisions and looking for ways to drive data-driven decision making.
Effective communication and presentation of analytical results to different stakeholders.
Documentation of analytical processes and results, adhering to agreed documentation standards.
Improvement of the analytical assets (e.g. features) to ensure accuracy of models.
Contribute to the development and procurement of merchandise systems that embed advanced analytics / machine learning components.
Desirable Characteristics:
A B degree in a numerate discipline, preferably Statistics / Mathematics / Operations Research / Industrial Engineering / Computer Science (honor’s / master’s degree preferable)
Knowledge and experience in statistical software packages (SAS / Python / R)
Experience in machine learning, clustering, demand forecasting
Knowledge of the retail industry and merchandise life cycle management would be advantageous
Understanding of supply chain principles and inventory science would be advantageous
Hands-on experience of large-scale database data interrogation and manipulation (SQL)
Experience with data mining and statistical techniques.
Excellent data interpretation skills
A customer centric approach
Good strategic and conceptual abilities
Commercial acumen
Advanced problem solving, judgment and self-management skills
Preference will be given, but not limited to, candidates from designated groups in terms of the Employment Equity Act."
Junior Data Scientist,"We are looking for an enthusiastic junior data scientist to join our growing Data Science & Analytics team at Dotdigital.
You will work on state-of-the-art models and develop our next generation of data science features to help our customers engage with their audiences and increase revenue.

You will work with other data scientists, as well as analysts, product managers, software developers and data engineers to bring these products to our customers.


We are looking for someone who:

Is curious about data, trends and relationships within data.
Likes working as a team to solve complex, data-driven problems.
Wants to apply cutting-edge machine learning and artificial intelligence solutions to important business questions.

Dotdigital is a global digital marketing automation, and customer engagement service provider headquartered in London. Our market-leading Engagement Cloud SaaS platform empowers our clients’ marketing and ecommerce teams to create engaging and relevant omnichannel marketing programmes. We’ve continued to experience exciting growth in our business, since we began in 1999, and as part of that growth we now have staff in the UK, Sydney, Melbourne, Minsk, Warsaw, Cape Town, Singapore, New York and Los Angeles – though we’ve all been working from our homes, since March 2020, of course.
We have over 100 people in the extended technical team working on the next big things. We have a great team culture with regular Slack collaboration between our engineering teams based in the UK, South Africa, Belarus and Poland. We develop using Agile, and have an informal, sociable environment. You will have access to unlimited online training resources via Udemy. Although we’re remote right now, we do have some great offices available to use, if that’s your thing.
Essential technologies/key skills:

Basic knowledge of some SQL, Python and data science toolkits (e.g., Pandas, NumPy, scikit-learn).
Some experience in the field of machine learning or data science whether that be commercial or not.
A good knowledge of mathematics and/or statistics.
A good knowledge of machine learning methodologies and implementation strategies.

Experience with any of the following areas would be advantageous:

Knowledge and/or experience with advanced libraries such as Keras and/or Tensorflow.
A/B testing knowledge.
Research background."
Carrier Support Rep. (Remote - South Africa),"ARE YOU INTERESTED IN JOINING A HYPER-GROWTH LOGISTICS TECH COMPANY?Do you want to join a rocketship that has had +200% growth of year-over-year revenue?Do you want to collaborate with one of the greatest tech driven brokers in the logistics industry?Do you want to experience an opportunity to work along with a few of the biggest retailers in the world?If so, nice to meet you! We are Loadsmart and we have recently created a new Carrier Support Rep. We are a Series C-funded logistic technology company that has increased our revenue by 200% year over year, led by a leadership team of logistics veterans and experienced engineers, product leaders and data scientists continuing to disrupt this $800 billion industry.We are seeking an innovative, agile, Carrier Support Representative who thrives in a dynamic and fast-paced global company. This position will support inbound requests from carriers through telecommunications, webchat and email with the intent of assisting Loadsmart in further expanding the company's carrier network by creating a solid carrier experience with loadsmart.WHAT YOU GET TO DO…Negotiate market-driven rates and ensure shipment on-time performance metrics are metMeet set success metrics through making the most of every opportunityAdvocate for carrier partners and drivers to utilize our online platform to communicate, book and track loads autonomouslyRelay carrier feedback to our engineering team to continuously improve our core technology for sourcing capacity and meet the needs of customers and carrier partnersEnsure carriers are compliant with Loadsmart standards and proactively communicate directly if they fall short of expectationsYOU HAVE EXPERIENCE…0-1 years work experience in Carrier Sales, Transportation, or LogisticsOutstanding written and verbal communication skillsAbility to prioritize and thrive under deadlines in a fast paced environmentSelf-starter unafraid of seeking resources to get the job doneStrong business judgment and analytical skills with high attention to detailExcellent problem solving and decision making abilitiesWilling to work in a highly entrepreneurial and team-oriented environmentResults driven work ethic, exemplified by prioritization and persistent continued attention to see projects through to successful completionYOUR COLLEAGUES WOULD DESCRIBE YOU AS: Tenacious with the ability to take rejection … a lot!Competitive, social and problem-solverTeam player but also stand alone star with high energyNetworking - a people personWORKING AT LOADSMART: *Prosperity*Competitive monthly fixed compensation plus access hours paid (over 160 hours per month!)Signing bonus - because you will work remotely, you will use it as you like: to setup your home office, get a new laptop or buy that amazing coffee machine to make your days happier : )*Happiness*Unlimited time offWellbeing initiativesAn opportunity to work with a diverse, global community of 700+ Loadies united by our core value of TeamworkRegular recognition, feedback, and transparency across all levelsAt Loadsmart, we believe our biggest asset is our people. We are proud to be an equal opportunity employer, hiring and developing individuals from diverse backgrounds and experiences to add to our collaborative culture. Loadsmart treats all candidates and employees with respect and does not discriminate in our recruiting, hiring, and promoting processes, including on the basis of race, color, religion, sex, age, sexual orientation, gender identity and/or expression, national origin, veteran status, or disability.Job Type: Full-time"
Data Scientist,"Do you want to work with the latest technology? Do you want to be part of a team that is constantly improving their product and customer experience? Would you like to work with cutting edge algorithms, machine learning and data mining tools? Are you looking for a role where you will make an impact on our business results? We are looking forward to receiving your application!
As a Data Scientist, you'll be responsible for the development of analytical models and algorithms. You will work with data scientists to develop our machine learning and predictive analytics solutions in order to enhance customer experience and drive growth across the business. You should have strong programming skills including knowledge of R or Python; some familiarity with SQL is preferred but not required. Some familiarity with statistics would also be beneficial but isn't essential.
Requirements
Stakeholder Management § Work with data and analytics squads to identify relevant data sources to perform meaningful customer analytics
Work closely with the business execution teams to ensure insights make business and financial sense
Work collaboratively with various teams to ensure effective delivery of the departmental goals based on analysis results
Operational
Provide innovative ways to support the implementation and effective execution of the strategy
Assist with development and delivery of business cases
Use data and advanced statistical methods to generate new business insights
Cross-reference and correlate results with supporting material
Ensure model results are explainable
Develop, train, test, implement, update and maintain analytical models
Source and prepare data for analysis and modeling purposes
Develop dashboards for business consumption and interaction of results
Implement tracking mechanisms to measure the business impact of action taken against results and insights provided
Compliance
Ensure solutions adhere to MultiChoice patterns, guidelines, and standards
Operate within project environments and participate in continuous improvement efforts
Delivery Management
Follow and participate in defined ways of work including but not limited to
sprint planning, backlog grooming, retrospectives, demos, and PI planning
Technical Competencies
Azure Machine Learning Services
Azure Auto ML
Azure Data Lake including parquet files
Databricks including DeltaLake
PowerBI
Python
PySpark
SQL
Qualifications
Qualifications
Degree in Business and Quantitative field (Econometrics, Mathematics, Statistics, Computer Science or Similar)
Post Grad Advantageous
Experience
A minimum of 3 - 5 years of relevant data science experience
Application of statistical, mathematical, predictive modeling and forecasting techniques
Experience in building and implementation of Supervised and Unsupervised Machine Learning Algorithms to solve meaningful business problems
Preparation and presentation of findings to senior management
Facilitation of discussion and interpretation of results to deepen business understanding"
M-Pesa: Senior Data Scientist,"Role Purpose
The Commercial Team works with the M-Pesa leadership across our 7 OpCos to co-create the product strategy, drive thought leadership and new strategic partnerships, design new products and features, set commercial priorities with the engineering teams and support the product development lifecycle.
Your responsibilities will include championing big data, analytics and machine learning to help build the next generation of M-Pesa services that are personalised, contextualised and smart. This could include work across the M-Pesa Africa product suite, including the consumer and merchant app experience, the financial services portfolio, international remittances and the business portal.
Your responsibilities will include:
Create Machine Learning and AI products that provide actionable business insight and drive personalisation for M-Pesa users.
Developing predictive models with large and varied datasets, working with a community of colleagues across Advanced Analytics, technology, and data and customer functions
Development of machine learning models for various areas of the business on the Big Data Platform
Development of prototype code in e.g. PySpark for automated training and scoring of the machine learning models
Machine Learning Model performance tracking and reporting using e.g. Qlik
Uses data visualisation to engage audience in a compelling way, enabling effective storytelling
Work with lead data scientist to deliver key packages of work to meet the needs of business customers
The ideal candidate for this role will have:
Bachelor’s or Master’s Degree in quantitative fields like Mathematics, Statistics, Economics, Computer Science Engineering, Artificial Intelligence or related fields (essential)
Professional and/or academic experience in Big Data analytics & deployment of models and algorithms to solve real-world problems (with deep statistical and machine learning modelling expertise)
Familiarity with visualisation tools (e.g. Tableau, Qlik, D3)
Experience in data manipulation: use of structured data tools (e.g., SQL), and platforms (e.g., Hadoop, Spark, NoSQL)
Proficiency in at least one relevant programming language: Python, R
Experience in major machine learning modelling libraries (e.g., H2O, scikit-learn, PyTorch) and techniques (e.g. random forest, gradient boosting, k-means segmentation, multiple regression, factor analysis, time-series forecasting)
Closing date for applications: 04 February 2022
The base location for this role is Midrand, Vodacom Campus
The Company’s approved Employment Equity Plan and Targets will be considered as part of the recruitment process. As an Equal Opportunities employer, we actively encourage and welcome people with various disabilities to apply.
Vodacom is committed to an organizational culture that recognizes, appreciates and values diversity & inclusion."
REPL Group - Senior Data Scientist,"We’re expanding our offering for an in-house Senior Data Scientist, ideally with a consultancy background, to meet the demands of a growing portfolio of new and exciting projects. The data science team are part of the delivery consulting team, delivering a data science consulting offering across a wide portfolio of clients and services. As such, we are working on a broad spectrum of activities, ranging from algorithms development, data analysis and software development support.
Your new role:
Data analysis using either an exploratory or hypothesis driven approaches
Predictive modelling using machine learning techniques such as generalised linear models and Bayesian inference, and Deep Learning
Work side-by-side with clients to provide bespoke data science consultations
Contribute to the development, and ongoing improvement of our in house platforms
Provide data science expertise and support as required to the wider organisation

What we’re looking for:
Strong related academic background i.e. Masters level degree in a numerate subject, preferably data science
Theoretical knowledge of classical statistical methods, bayesian learning, and neural networks, and its application to machine learning techniques
Strong Python/R experience
Demonstrable experience with RStudio or Jupyter notebooks
Keen to utilise up-to-date software development practices
Good communications skills, verbal and written
Self-starter, happy to work alone or as part of a team
Willing to occasionally work off-site at supplier or customer sites
It would be a bonus if you had:
A background in Consultancy
Experience with Tensor Flow
Experience of Hadoop
Experience with high level software language such as Scala, Java or C#
Experience of working in an Agile development environment
Experience of utilising a continuous integration approach to software development
Experience of software containers e.g. Docker
Comfortable working with different data science tools"
Data Scientist (with Cloud Azure essential) - B1824 Evdb,"We are looking for a developer with profound monitoring solution knowledge who is passionate about designing, developing and operating smart monitoring solutions to ensure the accuracy of the production critical ERP systems.

Setting up and operation of Splunk clients

Ability to create complex Splunk queries and dashboards

Knowledge of Splunk AI solutions and the integration of additional AI solutions frameworks

Knowledge of data analysis and correlation via LogFiles and metrics

Knowledge of the creation of standard interfaces for obtaining new data sources (LogFiles etc.)

Knowledge of applied algorithms in the field of artificial intelligence/machine learning (eg. standard Python algorithms)

Knowledge of Natual lanaguage processing (NLP)

Knowledge of modern programming languages (eg. Python, Java)

Knowledge in the field of testing predictive systems

Maintenance and operating knowledge of applications including operating processes

Working with agile methods especially SCRUM with tools like JIRA, Confluence and Bitbucket

Managing projects / processes

Ability to develop within a specific sought-after programming language

Strong BI Consultant / Development experience

Strong working knowledge with software development tools, techniques and approaches used to build application solutions

Working knowledge with software development tools, techniques and approaches used to build application solutions

Cloud computing technologies, Business drivers and emerging computing trends

At least 5-8 years Cloud architecture (eg. Azure)

At least 8 years’ experience of a backend programming language eg. Java, Python

At least 5 years’ experience in providing data for a monitoring solution

At least 3 years’ experience in implementing monitoring predictive monitoring solutions (eg. Spunk)

Experience in testing (manual and automated) state of the art cloud solutions

Ability to create complex Splunk queries and dashboards

Python algorithms

Programming languages (eg. Python, Java)

JIRA, Confluence and Bitbucket"
JUNIOR DATA SCIENTIST,"An intelligence solutions company with strong, industry-specific expertise and core capabilities in data management, GIS, analytics and software development.
Job Description
HONOURS DEGREE ESSENTIAL

Investigation, design and implementation of improvements to existing predictive models & analytical products in either property, automotive, insurance with a focus on consumer industries.
Prototyping new predictive models & products with the philosophy of quick turnaround and failing fast
Predictive modelling specialization for consumer behavior analysis, sentiment extraction, engagement analysis and recommendation.
Interpretable visualizations, reports and presentations to showcase the value of predictive models & products
Ad hoc queries relating to predictive models & products
Documenting and general maintenance of predictive models & products
Effective communication and presentation to clients and internal stakeholders
Create and deliver value towards the greater team and company vision

Skills
Minimum 1 year experience
Above average ability to work with, analyze, interpret, and report on data
Knowledge of statistical concepts and techniques as well as practical application of these techniques
Knowledge of statistical concepts and techniques as well as practical application of these techniques
Python, R & SQL Server experience
Proficient in Microsoft Office suite (Advanced Excel preferred)
MATLAB, C++ or any other development language experience advantageous
Ability to adapt to programming environments based on the project at hand
Professional approach to report writing, documentation and other written communications

Salary / Package
R40 000 ctc
Benefits
BCom/BSc Honours in Statistics, Mathematics or Computer Science (must have proven statistical model building experience) – preferably master’s degree"
Data Scientist,"Business Unit: Discovery Health
Function: Data Analysis
Date: 24-Jan-2022
Why you should work at Discovery
Discovery is a high-performance organisation that prides itself in attracting the finest talent, we challenge ourselves to find solutions that make a difference in the world. Our environment is always buzzing with energetic, smart, and motivated people who have a bias for action and truly believe in the core purpose and values of Discovery.
What is the role
In the Discovery Health Intelligence unit, our core purpose is “creating intelligence for a healthier tomorrow” by leveraging Discovery’s vast data to drive valuable insights to improve both clinical and operational environments. Key to our purpose is obtaining and structuring quality data, leveraging cutting edge analytical innovations and delivering actionable insights in a sustainable and meaningful way. We leverage an integrated, collaborative, and multidisciplinary approach to ensure our objectives and goals are met.
The role entails building and recommending a foundational and sustainable data science system and architecture while considering the current environment. A key focus on scalability, abstraction and frameworks are crucial to succeed in the role. The role will initially build components and systems on the ground while still envision a long-term and sustainable architectural structure. The team is expected to scale rapidly with different leadership roles available. The role may include international exposure with Discovery partnerships.
What you will do
The successful applicant will be working within a highly specialized and growing team to enable delivery of advanced analytics system capability.
Responsibilities will include:
Collaboratively design, specify and implement a full stack healthcare analytics solution underpinned by a project delivery focus
Connecting with a multitude of stakeholders to understand the data, systems, and analytical architecture in a healthcare context
Understand healthcare business pipeline and assess where scalable healthcare analytics can enhance the pipeline
Devise strategy around roll out of healthcare analytics
Specify software and hardware decision making framework
Understanding large structured and unstructured datasets to recommend improvement to algorithms and technologies
Understand meta-data management systems and orchestration architecture in the designing of ML/AI pipelines
Research and application of the most up to date analytics, machine learning and AI techniques
Work with a range of stakeholders to ensure to present and apply insights effectively in the environment
Monitoring model performance
Improve processes and databases where opportunities arise
What skills you will need
Technical skills core:
Expert in programming languages such as R, Python, Scala
Experience in interactive data exploration and data-driven story telling
Understanding and application of Big Data and distributed computing principles (Hadoop and MapReduce)
Strong analytical and statistical knowledge with an understanding of the latest machine learning algorithms for both structured and unstructured data
Strong ability to communicate findings and recommendations from data (visual, verbal and written)
Production environment machine learning and AI
DevOps/DataOps and CI/CD experience
Proficient understanding data manipulation skills including SQL to extract, transform and load data
Technical skills additional:
Azure experienced preferred
Behavioural skills:
A passion for data exploration and complex healthcare environment
Self-starter
Willingness to learn and grow exponentially
A restless curiosity towards data and uncovering unknown correlations
Ability to work cohesively in a team environment and balance multiple priorities
A team player who can work alone when required and without supervision
High level of attention to detail, resilience, enthusiasm, energy and drive
Positive, can-do attitude
Ethical and able to maintain confidentiality and manage boundaries
Aligned to Discovery values and core purpose
Professional Qualifications & Experience
Honours or Master’s degree in either Data Science, Statistics, or Applied Mathematics with some experience in software engineering, computer science or working with big disparate sets of data, OR
Honours or Master’s degree in Computer Science or Software Engineering with solid experience in statistical modelling, data mining and machine learning
Other analytical qualifications will also be considered if accompanied by the relevant experience
5 to 15 years of experience is preferred
EMPLOYMENT EQUITY

The Company’s approved Employment Equity Plan and Targets will be considered as part of the recruitment process. As an Equal Opportunities employer, we actively encourage and welcome people with various disabilities to apply."
Data Scientist I,"About us, purpose, experience and qualifications
about us
make a promise
 be deeply invested
 value our differences
 build trust, not territory
 have courage
 always do the right thing
 stay curious and you have one simple goal: to improve the lives of customers through simple, effective solutions that meet their needs, contact us today and join a winning team. All appointments will be made in line with the Bank’s Employment Equity plan The Bank supports the recruitment and advancement of individuals with disabilities. In order for us to fulfill this purpose, candidates can disclose their disability information on a voluntary basis. The Bank will keep this information confidential unless we are required by law to disclose this information to other parties.
purpose
To build, optimise and implement innovative quantitative analytical methodologies, procedures, and advanced mathematical models that provide analytical support and interpret insights, to address business opportunities and problems and implement business strategy, under guidance against predicted results and deliver according to set processes and procedures
experience and qualifications
Minimum Qualification - Relevant Degree in Maths, Stats, Engineering, Computer Science, Econometrics, Physics or Actuarial Science
Experience - 1 to 3 years’ experience in data environment
Additional Knowledge - Domain knowledge with regards to financial services: Credit, Pricing, Marketing, CVM, Trading etc.
Design thinking
Analytics Ops, Agile and SAFe concepts will assist
Hands on experience using model such as: Naïve Bayes, Support Vector Machines, Classifications, Boosting Algorithms, Time Series, Feature Engineering and
Dimensionality Reduction
Data and Information Management topics e.g. structure, dimensions, storage
Database management
Python, SQL, MATLAB, SAS, S-PLUS or R (used for statistical analysis)
Monte Carlo techniques
Machine learning
Data mining and data modelling
C#/Java, .NET or VBA, Excel
Calculus (including differential, integral and stochastic)
Linear algebra and differential equations
Probability and statistics
Game theory
Portfolio theory
Equity and interest rate derivatives, including exotics
Systematic and discretionary trading practices
Credit-risk products
Financial modelling Data visualisation and reporting"
